headword,CEFR
exclamation mark,B2
excursion,B2
exhaust,B2
exhausted,B1
exhausting,B2
exhaustion,B2
existing,B2
explorer,B2
expressive,B2
exquisite,B2
extinct,B1
extinction,B1
extraordinarily,B2
extreme sports,B1
exultant,B2
eyebrow,B2
eyelash,B2
eyelid,B2
eyesight,B1
face to face,B1
face-to-face,B1
facilities,B2
faint,B1
faint,B2
fairy,A1
faithful,B1
fallen,B1
falter,B2
fantastically,B2
faraway,B1
farewell,B1
farmland,B1
farther,B1
farthest,B1
fascinate,B1
fascinated,B2
fascination,B2
fast food,A2
father-in-law,B2
faulty,B2
fax,B1
fax,B1
fearsome,B2
feast,B1
fed up,B2
ferry,B1
ferryboat,B2
festive,B1
fetch,B1
feverishly,B1
fictional,B2
fighter,A2
figurative,B2
filial,B2
filling,B1
financially,B2
finely,B2
fingernail,B2
fire brigade,B2
fire station,B1
fireplace,B2
firmness,B2
first floor,B1
first lady,B1
first language,B2
first name,A2
first person,B2
first-floor,B1
fiscal,B2
fisherman,A2
flap,B2
flawless,B2
flax,B2
flea,A2
flexibly,B2
flip,B2
flock,B1
fluency,B2
fluent,B1
fluently,B1
flunk,B1
flute,B1
flutter,B2
fog,A2
foggy,A1
folder,A2
follower,B2
folly,B2
fondly,B2
fondness,B1
foolish,B1
foolishly,B2
footballer,A2
footnote,B2
forbidden,B1
forcefully,B2
forehead,B1
foreman,B2
foresee,B2
forestry,B2
formally,B1
formidable,B2
fortnight,B1
foul,B2
fountain,B1
fox,B2
fragrance,B2
frank,A2
frantically,B2
freak,B2
freezer,B1
freezing,B1
freshman,B1
fried,A2
friendliness,B1
frigate,B2
fright,B1
frontier,B2
frost,B1
frugal,B2
frying pan,B1
full stop,B1
fume,B2
functionality,B2
funk,B2
funky,B2
furiously,B2
furnish,B1
furthest,B1
fuss,B1
gaiety,B2
gall,B1
gangster,B2
garbage,A1
gardener,B2
gardening,B1
garlic,A2
garment,B1
gasp,B2
gateway,B2
gaudy,B2
gee,B1
generosity,B2
generously,B2
genetically,B1
genetics,B1
gently,B2
geographic,B2
geographical,B1
geology,B1
germ,B2
getaway,B2
ghetto,B2
gifted,B1
giggle,B1
ginger,B1
giraffe,B1
giveaway,B2
given,A2
glacis,B2
glare,B2
glasses,A1
gleam,B2
glee,B2
glide,B1
glint,B1
global warming,B2
globally,B2
glocal,B2
gloomy,B2
glorify,B2
glow,B2
goalkeeper,B1
goat,B2
goddess,B1
godly,B2
golfer,B1
good afternoon,A1
good morning,A1
good night,A1
good-looking,A2
goodwill,B2
gook,B2
gorge,B2
gorilla,B1
gossip,B1
gossip,B2
governmental,B2
gown,B1
graceful,B1
gracefulness,B2
gradual,B2
graduation,B1
grammar,A1
grandchild,A2
granddad,A2
granddaughter,A2
grandma,A1
grandpa,A1
grandson,A2
granny,A2
grape,A1
graph,B1
graphically,B2
gratitude,B1
gravestone,B2
gravitation,B2
gravy,B1
greatness,B2
greedy,A2
greeting,B1
grieve,B2
grill,B1
grill,B1
grilled,A2
grim,B2
grocery store,A2
groom,B1
ground floor,B1
grouping,B1
growing,B2
grown-up,B2
grown-up,B2
guidebook,A2
guitarist,B1
gulp,B2
gum,B2
gunshot,B2
guts,B2
gymnastic,B2
gymnastics,B1
habitant,B2
had,A1
haircut,A1
hairdresser,B1
hairdryer,B1
hairy,B2
half-price,A2
half-price,A2
ham,A2
hamburger,A1
hammer,B1
hammer,B2
handbag,A2
handball,B1
hand-held,B1
handicap,B2
handicapped,A2
handicraft,B2
handkerchief,B1
handout,B2
handrail,B2
handshake,B1
handsome,A1
handwriting,B1
hanging,B1
hard drive,B2
hardship,B1
hard-working,B1
harmless,B2
harness,B1
harrow,B2
has,A1
haste,B2
hastily,B2
hasty,B1
hatch,B1
hatching,B2
haunting,B2
haven,B1
hay,B2
hazardous,B2
headphone,A2
headteacher,A2
healing,B1
health care,B2
heap,B2
heap,B2
heart attack,B1
heartbreaking,B2
hearted,B1
hearty,B1
heater,B1
heavenly,B1
hedge,B2
helper,B2
helpless,B1
hemp,B2
herd,B1
hesitation,B2
high school,A2
hijack,B2
hijack,B2
hike,A2
hiking,A2
HIV,B1
holder,B2
holocaust,B2
hometown,A1
homeward,B2
hone,B2
honestly,B1
honey,A2
honeymoon,B1
hood,B2
hop,B1
hopeless,B1
horrify,B1
hospice,B2
hospitable,B2
hospitality,B2
hostel,B1
hourly,B2
housekeeper,B2
housemaster,B2
housewife,B2
housework,B1
hover,B2
hug,B2
hug,A2
hugely,B2
human rights,B2
humane,B2
humanist,B2
humbug,B2
humid,B1
humiliate,B2
humiliating,B2
humiliation,B2
hunter,A2
hurriedly,B1
hush,B2
hut,B1
hybrid,B2
hygiene,B2
hyperbole,B2
hyphen,B2
ice hockey,B1
ice skating,B1
iceman,B2
icy,B2
ID card,A2
ideally,B2
identity card,B1
idiom,B1
idle,B2
idol,B1
ignorant,B2
illegally,B1
illuminate,B1
imitate,B1
imitation,B2
immerse,B2
immigrate,B1
immoral,B2
immortal,B2
immortality,B2
impair,B1
impartial,B2
impatiently,B2
imperative,B2
impermanent,B2
impolite,B2
impolitely,B2
importantly,A2
impossibility,B2
impractical,B2
impressionism,B2
impressionist,B2
improbable,B2
improper,B1
improperly,B2
improved,B2
impulse,B2
impulsive,B2
inaccurate,B2
inanimate,B2
inborn,B2
incense,B2
inconvenient,B1
incurable,B2
indebted,B2
indefinite article,B1
indent,B2
independently,B2
indescribable,B2
indifferent,B2
indignity,B2
indirectly,B1
indispensable,B2
indulgent,B2
ineffective,B2
inert,B2
inexpensive,A2
inexperienced,B2
infected,B2
infectious,B2
inference,B2
infinitive,B1
inflammation,B2
inflammatory,B2
inflate,B2
influenza,B2
informative,B1
infringe,B2
infringement,B2
inhabit,B2
inhale,B1
innate,B2
innermost,B1
innocently,B2
innovator,B1
insane,B1
inscribe,B1
inscription,B1
inseparable,B2
inspirational,B2
instead of,B1
intentionally,B1
intermission,B1
internationally,B1
interpersonal,B2
interpreter,B2
interruption,B2
intersection,B2
interviewee,B1
interviewer,A1
intransitive,B2
intravenous,B2
intrude,B2
intruder,B2
intrusion,B2
invariable,B2
invariably,B2
inventor,B2
inverted commas,B2
invitingly,B2
involuntarily,B1
ironing,B1
irrational,B2
irregular,B1
irresistible,B2
irresistibly,B2
irresponsible,B2
irritate,B1
irritated,B2
irritating,B2
irritation,B2
is,A1
islander,B2
isle,B1
itch,B2
ivory,B1
jade,B1
jar,B1
jaw,B2
jealous,B1
jealously,B2
jelly,A2
jewel,B1
jog,B2
jog,B1
jogging,B1
judo,B2
jug,B1
juicy,B1
jumper,B1
jungle,B1
junk,A2
junk food,B2
juror,B2
kangaroo,B2
karaoke,B2
keeper,B2
kerosene,B2
kettle,B1
keystroke,B2
killer,A2
kilo,A2
kindly,A2
kindly,B1
kindness,B1
kite,A1
kitten,B1
kneel,B2
knit,B1
knot,B2
knowingly,B2
known,B2
lamb,B1
lame,B2
lance,B2
landlady,B2
landslide,B2
lark,B2
last minute,B2
last name,A1
lasting,B1
lastly,B2
last-minute,B2
latecomer,B1
laundry,B2
lava,B2
lawful,B1
lawmaker,B2
layabout,B2
laziness,A2
learner,A2
lease,B2
leash,B2
lecturer,B2
leek,B2
left-hand,A2
legally,B1
legislate,B2
legislator,B2
leisurely,B2
lemonade,A2
lengthen,B2
leopard,B2
lessen,B1
lest,B2
lettuce,B1
liar,B1
liberate,B1
librarian,B1
lick,B2
lid,B2
lifeguard,B1
lifeless,B2
lighten,B2
lighter,B1
lightly,B1
lightning,B1
likeness,B1
lily,A1
limp,B1
linen,B2
liner,B2
ling,B2
literal,B2
living room,A1
loaf,B1
lodge,B1
loneliness,B2
long-distance,B2
loosely,B2
loudspeaker,B1
lousy,B2
lover,A2
lovingly,B1
lowland,B2
luckily,A2
lucrative,B2
luggage,B1
lunchtime,A2
lush,B2
luxurious,B2
lyrics,B2
'm,A1
madam,B2
madame,B2
madness,B2
maestro,B2
magician,B1
magnify,B2
mailbox,B1
main course,A2
maker,A2
malady,B2
malaria,B2
mango,B2
mankind,B1
mansion,B2
manual,B2
manual,B2
manufacturer,B2
maple,B1
marble,B1
marked,B1
martial art,B2
mash,B1
massage,B2
masseur,B2
masterpiece,B2
mastery,B2
mathematician,B1
mausoleum,B2
max,A2
mediocre,B2
meditate,B1
Mediterranean,B1
melon,A2
mend,B1
mentally,B1
merchandise,B2
merry,A1
message board,B1
messenger,B2
messy,B1
metric,B2
micro,B2
microbe,B2
microcomputer,B2
microorganism,B2
microphone,B2
microscope,B2
microscopic,B2
microscopy,B2
microwave,B2
midday,A2
middle-aged,B1
mighty,B2
millionaire,B2
mimic,B2
mineral water,A2
miniature,B2
mint,B2
minus,B1
mischief,B1
misconception,B2
misfortune,B2
mislead,B1
Miss,A1
mist,B2
mistreat,B2
mistrustful,B2
misty,B1
misunderstand,B2
misunderstanding,B1
mixing bowl,B1
mobile phone,A1
mock,B2
modem,B1
mogul,B2
moisture,B1
molecule,B1
mom,A1
momentarily,B2
momentary,B2
monastery,B2
moody,B2
moonlight,B2
moonscape,B2
morally,B2
mortal,B2
mortar,B2
mortify,B2
mosquito,B1
moss,B1
mother-in-law,B2
motherland,B1
motionless,B1
motivated,B2
motorbike,B2
motorway,A2
motto,B1
mountaintop,B1
mourn,B1
mournful,B2
mover,B2
MP3 player,A2
muddy,B2
mug,A2
mule,B1
mumble,B2
mumble,B2
murderer,B1
murmur,B2
muse,B2
mushroom,A2
mustard,B1
mutability,B2
mutable,B2
mutter,B2
mutter,B2
mutton,B2
mystify,B2
nano,B2
nap,B1
napkin,A2
narcissistic,B2
narrate,B1
narrator,B2
narrowly,B2
nationalist,B1
nationality,A1
native speaker,B2
naughty,B2
navigate,B2
navy,B2
navy blue,B1
necklace,B1
nectar,B1
needless,B2
needy,B2
negatively,B2
nephew,B1
nerves,B2
nervously,B2
nervousness,B1
ness,B1
neurosis,B2
newborn,B1
newcomer,B1
newscaster,B2
newsworthy,B2
next door,B1
next-door,B1
nicely,B2
nickname,B1
niece,B1
nightclub,B2
nightlife,B1
nobility,B2
nobleman,B2
noisily,B1
nomad,B2
nonprofessional,B2
non-smoking,B2
northeast,B1
northeast,B1
northeastern,B1
northward,B2
northwest,B1
northwest,B1
northwestern,B1
nostril,B2
noticeable,B1
noticeboard,B1
nought,B2
noun,A2
nourish,B2
nourishment,B2
novelty,B2
nucleus,B1
nuisance,B2
numerical,B2
nutrient,B1
nutritious,B1
nutshell,B2
oak,A2
oath,B2
obedience,B2
obedient,B2
obituary,B2
obsessive,B2
offhand,B2
officially,B1
offshore,B2
oily,B1
ointment,B2
olive,B2
olive oil,A2
Olympia,B2
Olympiad,B2
Olympic,A2
Olympics,A1
oneself,B1
onstage,B1
oppress,B1
oppression,B1
optimist,B2
optional,B2
orator,B2
orbit,B1
orchestral,B2
orchid,B2
orderly,B1
organism,B1
originality,B2
ornament,B2
orphan,A2
ought to,B1
ounce,B2
out of,A2
outback,B2
outdistance,B2
outdo,B2
outgrow,B2
outlaw,B1
outlive,B2
out-of-date,B1
outpatient,B2
outrageous,B2
outshine,B2
outskirts,B2
outward,B1
outwardly,B2
outweigh,B1
oval,B2
overboard,B2
overbook,B2
overcoat,B2
overestimate,B2
overhear,B2
overjoyed,B1
overlap,B2
overshadow,B2
oversize,B2
overstep,B2
overtake,B2
overthrow,B2
overtime,B2
overtime,B2
overweight,A2
overwork,B1
ow,B2
owing,B1
owing to,B2
owl,B2
ox,B2
ozone,B2
pa,B2
pacific,A2
packed,B2
packing,B1
paddle,B1
paid,B1
paintbrush,B2
pal,A2
pallet,B2
pancake,B2
pandemic,B2
papaya,B2
paperless,B2
paperwork,B2
parachute,B1
paradise,B1
paradox,B2
paralysis,B2
paramedic,B2
paratrooper,B2
parcel,B1
pardon,A1
pardon,B1
parrot,B1
participle,B1
particle,B2
partisan,B2
passionately,B2
pasta,A2
pastoral,B2
patiently,B2
patriot,B2
patriotic,B2
patriotism,B2
pave,B2
pavement,B2
paw,B2
pawnbroker,B2
pawnshop,B2
PC,A2
pea,A2
peacefully,B2
peach,B2
peanut,B1
pear,A2
pearl,B2
pebble,B2
pedal,B2
pedantic,B2
pedestrian,B2
pee,B2
peel,B2
peel,B2
peep,B2
peg,B2
pence,A2
penetrate,B2
penguin,B2
penicillin,B2
penniless,B1
pentagon,B2
performer,B1
perfume,A2
permanence,B2
permeate,B2
perseverance,B2
persistence,B2
personification,B2
personify,B2
perspiration,B2
persuasion,B2
persuasive,B1
pessimist,B2
pessimistic,B2
petrified,B2
petrol station,A2
petty,B2
pH,B2
phantom,B1
pharmacist,B2
pharmacy,B1
phoenix,B1
photocopy,B1
phrasal verb,B1
physically,A2
pi,B2
pickle,B2
picky,B2
picnic,A1
picturesque,B2
pie,B1
piety,B1
pilgrim,A2
pillow,B1
pillowcase,B2
pine,B2
pineapple,B1
pint,B2
piracy,B2
pizza,A1
plague,B2
playful,A2
playground,A2
playmate,B2
playwright,B2
pleasantly,B1
pleasing,A2
pluck,B2
plum,B2
plumber,B2
plural,A2
pneumonia,B2
pocket money,B1
point of view,B2
pointless,B2
polar bear,B2
police officer,A2
police station,A2
policewoman,A2
polio,B2
polish,B2
politely,B1
politeness,B2
politically,B2
polity,B2
pollutant,B1
pollute,A2
polo,B2
ponder,B2
popcorn,B1
porch,B2
pork,B1
posh,B2
positively,B1
possessed,B2
possessive,B1
post office,A2
postal,B2
postcard,B1
postman,B1
potent,B2
pottery,B1
powerfully,B2
practicality,B2
practically,B2
prance,B2
prawn,B2
predicament,B2
predicate,B2
predicative,B2
predictive,B2
predictor,B2
prefect,B2
preferable,B2
preferably,B2
prefix,B1
prehistoric,B2
prehuman,B2
preindustrial,B2
prejudge,B2
preoccupy,B2
preposition,B1
preschool,B1
presenter,B2
prestige,B2
preventive,B2
priceless,B2
prick,B2
primary school,B1
prime minister,B2
primitive,B1
privately,B2
pro,A2
procrastination,B1
programmer,B2
prohibition,B1
prom,B2
prominence,B2
promptly,B2
pronoun,B1
